ID,페이즈,영역,과제,산출물,담당,선행,마감일,상태,사람승인,메모
C06,1차 RS,인증/법무,친환경·기능 표현 가이드,허용/금지 문구 표,rs-launch-pm,"C05,F05",2026-10-23,대기,필요,10/19 초안 → 성적서 받고 확정
C07,1차 RS,인증/법무,특허·NTB 표기 문구,패키지·상세 표기 문구,대표,,2026-10-08,대기,필요,주방화 디자인권(대시보드#4 변리사 진행건) 출원·등록번호 확인 후 표기
C08,1차 RS,인증/법무,통신판매업 신고·사업자정보 정리,신고번호·표기 문구,대표,,2026-10-16,대기,불필요,홈페이지·상세페이지 하단 필수 표기
K01,1차 RS,패키지,패키지 구조·사이즈 결정,박스/파우치 구조·치수·재질,인쇄소,"P03,B01",2026-10-02,대기,필요,조리화 박스 · 인솔 파우치/헤더택
K02,1차 RS,패키지,GS1 바코드 발급,품목별 바코드(사이즈·컬러별),대표,P03,2026-10-06,대기,불필요,사이즈×컬러 SKU 수만큼 필요
K03,1차 RS,패키지,패키지 디자인 시안,시안 2안,content-creator,"B03,B04,K01",2026-10-08,대기,필요,
K04,1차 RS,패키지,패키지 표시사항 대조,품질표시·재질·분리배출·사업자정보 대조표,rs-launch-pm,"C01,C07,K02",2026-10-12,대기,필요,인쇄 후 수정 불가 — 친환경 문구는 성적서 없으면 제외
K05,1차 RS,패키지,인쇄 데이터 확정·인쇄 발주,최종 인쇄 파일·발주서,대표,"K03,K04",2026-10-13,대기,필요,
K06,1차 RS,패키지,패키지 입고·포장,입고 확인,인쇄소,K05,2026-10-26,대기,불필요,
DP01,1차 RS,상세페이지,제품 촬영(누끼·연출·착화),촬영 원본,외주,P01,2026-10-16,대기,필요,2차 샘플 늦으면 시사출품으로 촬영. 주방 현장 연출컷 필수
DP02,1차 RS,상세페이지,상세 카피·DR 카피 10종,카피 원고,content-creator,"B04,M01",2026-10-16,대기,필요,C06 가이드로 검수
DP03,1차 RS,상세페이지,상세페이지 시안,860px 시안,content-creator,"DP01,DP02",2026-10-21,대기,필요,simple-detail-page 스킬
DP04,1차 RS,상세페이지,상세페이지 최종(성적서 반영),860px PNG 최종,content-creator,"DP03,C05",2026-10-27,대기,필요,
DP05,1차 RS,상세페이지,썸네일·SEO 상품명·태그,썸네일 1000px·상품명,content-creator,DP03,2026-10-27,대기,불필요,
H01,1차 RS,홈페이지,도메인·제작 플랫폼 결정,도메인 구매·플랫폼 계약,대표,B01,2026-09-30,대기,필요,아임웹/카페24(자사몰 겸용) vs 브랜드 소개형 정적 사이트
H02,1차 RS,홈페이지,사이트맵·페이지 구성,사이트맵,rs-launch-pm,H01,2026-10-02,대기,불필요,브랜드/제품/ESG·자원순환/B2B 단체구매 문의/라라슈 Coming soon
H03,1차 RS,홈페이지,홈페이지 원고·이미지,페이지별 원고,content-creator,"H02,B04,DP01",2026-10-20,대기,필요,
H04,1차 RS,홈페이지,홈페이지 제작,스테이징 URL,외주/content-creator,"H03,B06",2026-10-27,대기,불필요,
H05,1차 RS,홈페이지,QA·오픈,라이브 URL,대표,"H04,C08",2026-10-30,대기,필요,사업자정보·통신판매업·개인정보처리방침·약관·모바일 확인
M01,1차 RS,마케팅,타깃 페르소나·키워드 조사,페르소나 3종·키워드 검색량 표,researcher,,2026-10-02,대기,불필요,급식 조리사 / 자영업 셰프 / 서서 일하는 직장인(인솔)
M02,1차 RS,마케팅,판매 채널 결정·입점 세팅,스마트스토어/쿠팡/와디즈 계정·등록,대표,P05,2026-10-16,대기,필요,와디즈는 심사 기간 고려 — 예약판매 시 10/9까지 신청
M03,1차 RS,마케팅,실착 체험단(조리 종사자),후기·사진 사용동의서,sales-ops,P01,2026-10-28,대기,필요,10/12 모집 → 10/28 후기 회수. 개인정보 동의 필수
M04,1차 RS,마케팅,B급 숏폼 비트컷 3편,캡컷 콘티·완성본,content-creator,DP01,2026-10-28,대기,불필요,
M05,1차 RS,마케팅,오픈 이벤트 기획,이벤트 구성·혜택,content-creator,F03,2026-10-20,대기,필요,
M06,1차 RS,마케팅,메타 광고 세팅,캠페인·픽셀·오디언스,대표,"DP04,H05",2026-10-30,대기,필요,광고 예산 승인 필요
M07,1차 RS,마케팅,보도자료(ESG·자원순환),보도자료 1건,content-creator,C06,2026-11-02,대기,필요,재활용량 수치 근거(F05) 필수
S01,1차 RS,유통,CS·교환 정책,CS 매뉴얼·FAQ,sales-ops,P03,2026-10-27,대기,필요,사이즈 교환률이 수익 좌우
S02,1차 RS,유통,다이소 인솔 MD 제안,제안서·단가표,sales-ops,"F03,C05",2026-11-13,대기,필요,런칭 후 레퍼런스 확보 뒤 제안
S03,1차 RS,유통,B2B 급식사 제안(단체 조리화),제안서(ESG·산재예방 명분),sales-ops,"C05,F03",2026-11-20,대기,필요,급식 조리종사자 미끄럼 산재 = 핵심 명분 / 뒤꿈치 트임 형태가 급식실 기준에 맞는지 확인(백스트랩 옵션 검토)
S04,1차 RS,유통,공공조달·GR 인증 검토,나라장터 이력·GR 신청 가능성 메모,researcher,C05,2026-11-27,대기,불필요,"GR 인증원 기존 문의건(대시보드#1·2, CXP칫솔)과 묶어서 주방화·인솔 대상 여부 함께 확인"
F01,1차 RS,재무,런칭 예산표,패키지·상세·홈피·촬영·시험·광고 예산,rs-launch-pm,,2026-09-30,대기,필요,자부담 vs 지원금(G01) 구분
F02,1차 RS,재무,채널별 수수료·물류비 표,채널별 순마진 계산표,rs-launch-pm,,2026-10-02,대기,불필요,
F03,1차 RS,재무,원가표(BOM)·가격 확정,원가표·소비자가·도매가,rs-launch-pm,"P04,F02",2026-10-09,대기,필요,패키지에 가격 인쇄 여부도 결정
F04,1차 RS,재무,손익분기·초도 물량 시뮬레이션,BEP 시트,rs-launch-pm,F03,2026-10-09,대기,필요,
F05,1차 RS,재무,재활용량·탄소 감축 산정 근거,폐타이어 사용량(kg/족)·감축량 계산서,rs-launch-pm,P04,2026-10-16,대기,필요,ESG 문구·보도자료 공통 근거
G01,1차 RS,정부지원,도약 과제 비목·KPI·잔액 확인,비목별 잔액·KPI 대조표,rs-launch-pm,,2026-09-30,대기,불필요,총 124040000원. 소진 마감 11/15 역산해 잔액 집행계획 수립
G02,1차 RS,정부지원,런칭 비용 집행 증빙,세금계산서·이체증·검수조서,대표,G01,2026-11-15,진행중,필요,⚠️ 사업비 소진 마감 11/15(대시보드#21). 패키지·홈피·시험·금형수정비 전부 이 안에 집행·증빙
G03,1차 RS,정부지원,성과 매핑,런칭 성과 ↔ 과제 KPI 매핑표,rs-launch-pm,G01,2026-10-31,대기,필요,과제 종료 11/30(대시보드#22) — 폐타이어 논슬립 주방화+CXP인솔. 11/1 런칭 성과를 결과보고에 매핑
G04,1차 RS,정부지원,후속 지원사업 탐색,후보 리스트(마감일 포함),researcher,,2026-11-13,대기,불필요,판로·혁신제품·수출바우처
G05,1차 RS,정부지원,기보 NTB 보증 연계 자료,사업화 계획·매출 전망,rs-launch-pm,F04,2026-11-20,대기,필요,양산 운전자금용
L01,2차 라라슈,브랜드,라라슈 상표 선행조사·출원,출원번호,변리사,B02,2026-10-06,대기,필요,준비는 12월이지만 출원은 RS와 같이 지금 (선점 방어·비용 소액) / 도약 과제 11/30 종료 → 라라슈 비용은 지원금 사용 불가
L02,2차 라라슈,브랜드,라라슈 포지셔닝(RS 내 역할·타깃·가격대),포지셔닝 1p,rs-launch-pm,,2026-12-04,대기,필요,1차 판매 데이터 반영 / 도약 과제 11/30 종료 → 라라슈 비용은 지원금 사용 불가
L03,2차 라라슈,생산,라라슈 제품 라인업 확정,SKU 리스트,대표,L02,2026-12-11,대기,필요,도약 과제 11/30 종료 → 라라슈 비용은 지원금 사용 불가
L04,2차 라라슈,브랜드,라라슈 BI·서브브랜드 표기 규칙,로고·RS와의 병기 규칙,content-creator,L02,2026-12-18,대기,필요,도약 과제 11/30 종료 → 라라슈 비용은 지원금 사용 불가
L05,2차 라라슈,재무,라라슈 원가·가격·예산,원가표·예산표,rs-launch-pm,L03,2026-12-18,대기,필요,도약 과제 11/30 종료 → 라라슈 비용은 지원금 사용 불가
L06,2차 라라슈,브랜드,라라슈 런칭 목표일 확정,런칭일·마일스톤,대표,L02,2026-12-18,대기,필요,확정 시 트래커 확장 / 도약 과제 11/30 종료 → 라라슈 비용은 지원금 사용 불가
P10,1차 RS,생산,아웃솔 민트 인서트 박리 테스트,물 24h 침지·유분 도포 후 박리 사진,공장,P01,2026-10-02,대기,불필요,Q10. 떨어지면 양산 불가
P11,1차 RS,생산,퍼징 후 재사출 샘플(시험 제출용),깨끗한 샘플 3족,공장,P01,2026-10-01,대기,불필요,C02~C04 시험 접수용
B07,1차 RS,브랜드,네이밍 사용 규칙표,RS / 리솔앤슈 / 라라슈 노출 위치 규칙,rs-launch-pm,B01,2026-09-30,진행중,필요,RS=광고·패키지·홈피 / 리솔앤슈=상세페이지만
X01,1차 RS,마케팅,EquipHotel Paris(11/2~5) 참가,-,대표,C06,2026-10-09,보류,불필요,2026-09-26 대표 결정: 참가보류 → 메가쇼·서울디자인페스티벌로 대체. 대시보드 #16·#20 참가보류
E01,1차 RS,박람회,참가 박람회 확정,메가쇼 2026 시즌2(킨텍스 11/12~15) + 서울디자인페스티벌(코엑스 11/26~29),대표,,2026-09-30,완료,필요,2026-09-26 대표 결정. EquipHotel(X01) 대체
EM1,1차 RS,박람회,메가쇼(킨텍스 11/12~15) 부스 신청·참가비 집행,신청서·참가비 영수증,대표,E01,2026-10-02,대기,필요,신청 마감 즉시 확인 — 11월 회차는 부스 조기마감 가능. 참가비는 도약 과제 홍보비 비목 확인
EM2,1차 RS,박람회,메가쇼(킨텍스 11/12~15) 부스 디자인·집기,부스 시안·현수막·POP,content-creator,B03,2026-10-22,대기,필요,RS만 노출. 그린 도트 시그니처
EM3,1차 RS,박람회,메가쇼(킨텍스 11/12~15) 리플렛·B2B 제안 1p,리플렛 인쇄본·PDF,content-creator,"B04,F03",2026-10-29,대기,필요,기존 리플렛(대시보드 #23) 포맷 재활용. 가격 대신 문의 전화
EM4,1차 RS,박람회,메가쇼(킨텍스 11/12~15) 샘플·현장 재고,시착 세트·전시품·현장판매 재고,공장,P06,2026-11-05,대기,필요,소비재 B2C 박람회 → 현장판매 재고·카드단말기·사이즈별 재고 필수
EM5,1차 RS,박람회,메가쇼(킨텍스 11/12~15) 리드 수집 폼·현장 이벤트,QR 구글폼(개인정보 동의)·현장 혜택,sales-ops,,2026-11-05,대기,필요,리드 → sales-ops 팔로업(3~5일 간격)
EM6,1차 RS,박람회,메가쇼(킨텍스 11/12~15) 리드 팔로업·성과 정리,리드 리스트·팔로업·성과 요약,sales-ops,EM5,2026-11-22,대기,필요,성과(리드·현장매출) → G03 결과보고에 반영(과제 종료 11/30)
ES1,1차 RS,박람회,서울디자인페스티벌(코엑스 11/26~29) 부스 신청·참가비 집행,신청서·참가비 영수증,대표,E01,2026-10-02,대기,필요,⚠️ 행사가 사업비 소진 마감(11/15) 이후 → 참가비·부스 제작비는 11/15 전에 집행·증빙해야 지원금 처리 가능
ES2,1차 RS,박람회,서울디자인페스티벌(코엑스 11/26~29) 부스 디자인·집기,부스 시안·현수막·POP,content-creator,B03,2026-11-05,대기,필요,RS만 노출. 그린 도트 시그니처
ES3,1차 RS,박람회,서울디자인페스티벌(코엑스 11/26~29) 리플렛·B2B 제안 1p,리플렛 인쇄본·PDF,content-creator,"B04,F03",2026-11-12,대기,필요,기존 리플렛(대시보드 #23) 포맷 재활용. 가격 대신 문의 전화
ES4,1차 RS,박람회,서울디자인페스티벌(코엑스 11/26~29) 샘플·현장 재고,시착 세트·전시품·현장판매 재고,공장,P06,2026-11-19,대기,필요,디자인 박람회 → 판매보다 브랜드·바이어·언론. 소재 단면·원료(폐타이어 칩) 전시가 효과적
ES5,1차 RS,박람회,서울디자인페스티벌(코엑스 11/26~29) 리드 수집 폼·현장 이벤트,QR 구글폼(개인정보 동의)·현장 혜택,sales-ops,,2026-11-19,대기,필요,리드 → sales-ops 팔로업(3~5일 간격)
ES6,1차 RS,박람회,서울디자인페스티벌(코엑스 11/26~29) 리드 팔로업·성과 정리,리드 리스트·팔로업·성과 요약,sales-ops,ES5,2026-12-06,대기,필요,과제 종료(11/30) 직전 → 결과보고엔 참가 실적만. 리드 성과는 12월 라라슈 준비로 연결
