ID,영역,과제,산출물,담당,선행,목표시점,상태,사람승인,메모
S03,유통,공공조달 채널 검토,나라장터 입찰·수의계약 가능성 메모,researcher,C07,D-30,대기,불필요,학교·공공 급식실 조리화 발주 이력 조사
S04,유통,스마트스토어·쿠팡 입점 세팅,상품 등록·배송정책,대표,"D07,P08",D-10,대기,불필요,
S05,유통,CS·반품 정책(사이즈 교환),CS 매뉴얼·FAQ,sales-ops,P03,D-15,대기,필요,신발은 사이즈 교환률이 수익 좌우
F01,재무,원가표(BOM),원자재·공임·금형상각·포장·물류 단가표,larash-launch-pm,P05,D-80,대기,필요,
F02,재무,채널별 수수료·물류비 표,채널별 순마진 계산표,larash-launch-pm,,D-80,대기,불필요,와디즈·스마트스토어·쿠팡·다이소·B2B
F03,재무,소비자가·도매가 확정,가격표,larash-launch-pm,"F01,F02",D-70,대기,필요,
F04,재무,손익분기·초도 물량 시뮬레이션,BEP 시트,larash-launch-pm,F03,D-65,대기,필요,
F05,재무,런칭 예산표(광고·촬영·인증·인쇄),예산표,larash-launch-pm,,D-90,대기,필요,자부담 vs 지원금 구분
F06,재무,탄소 감축·재활용량 산정 근거,폐타이어 사용량(kg/족)·감축량 계산서,larash-launch-pm,P05,D-50,대기,필요,ESG 제안서·보도자료 공통 근거
G01,정부지원,도약 과제 협약 비목·KPI 재확인,비목별 잔액·KPI 대조표,larash-launch-pm,,D-150,대기,불필요,총 124040000원. 수행기간 종료일 확인
G02,정부지원,시사출·금형·시험비 집행 증빙,세금계산서·이체증·검수조서,대표,G01,수시,진행중,필요,e나라도움 집행등록
G03,정부지원,중간/결과보고 성과 매핑,런칭 성과 ↔ 과제 KPI 매핑표,larash-launch-pm,G01,과제 종료 D-30,대기,필요,시제품·인증·매출 실적 연결
G04,정부지원,후속 지원사업 탐색,지원사업 후보 리스트(마감일 포함),researcher,,D-120,대기,불필요,판로(공영홈쇼핑 등)·혁신제품·수출바우처
G05,정부지원,기보 NTB 보증 연계 자료,사업화 계획 요약·매출 전망,larash-launch-pm,F04,D-60,대기,필요,양산 운전자금용
